,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
1233,Land,Rover Range Rover 5.0L Supercharged,2017,101800.0,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,36500.0
1234,Ford,Expedition Max XLT,2021,84351.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Blue,Ebony,None reported,Yes,42691.0
1235,Nissan,Leaf SL,2012,26930.0,,107.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Beige,None reported,Yes,6700.0
1236,Toyota,Tacoma TRD Pro,2019,40698.0,Gasoline,3.5L V6 24V PDI DOHC,6-Speed,Super White,Black,None reported,Yes,42886.0
1237,Mercedes-Benz,AMG GT 63 S 4-Door,2020,40000.0,Gasoline,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Red,None reported,Yes,112500.0
1238,BMW,230 i,2019,30000.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,29000.0
1239,Lexus,ES 350 Base,2007,78980.0,Gasoline,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Beige,At least 1 accident or damage reported,Yes,10600.0
1240,Porsche,911 Carrera S Cabriolet,2007,28844.0,Gasoline,3.8L H6 24V MPFI DOHC,6-Speed Manual,White,Beige,None reported,Yes,69995.0
1241,Porsche,Taycan Turbo,2020,21028.0,,Dual AC Electric Motors,Single-Speed Fixed Gear,BLACK,BEIGE,None reported,Yes,96900.0
1242,Maserati,Levante Modena,2023,5409.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Blu,Black,None reported,Yes,88950.0
1243,Dodge,Challenger SRT Hellcat,2020,12700.0,Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,69900.0
1244,Mazda,Mazda6 Touring,2021,19000.0,Gasoline,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,25900.0
1245,Audi,S4 3.0T Premium,2019,12000.0,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,48000.0
1246,Ford,Mustang GT Premium,2016,25717.0,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,33900.0
1247,Tesla,Model Y Long Range,2022,12055.0,,425.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,44400.0
1248,Audi,TTS 2.0T Premium Plus,2011,69700.0,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Orange,–,At least 1 accident or damage reported,Yes,23000.0
1249,BMW,M2 Competition,2020,25013.0,Gasoline,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,55000.0
1250,Audi,Q4 e-tron Sportback Premium,2023,1156.0,,295.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,54900.0
1251,BMW,740 i,2016,57939.0,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,27500.0
1252,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,52694.0,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,49999.0
1253,Mercedes-Benz,S-Class S 550 4MATIC,2015,54000.0,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,37000.0
1254,Honda,S2000 Base,2002,110500.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Red,None reported,Yes,27000.0
1255,Chevrolet,Corvette Base,2000,97500.0,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,10000.0
1256,Chevrolet,Colorado Z71,2020,20909.0,Gasoline,3.6L V6 24V GDI DOHC,Automatic,Red,Jet Black,None reported,Yes,35387.0
1257,Mercedes-Benz,S-Class S 63 AMG,2013,77648.0,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,40000.0
1258,Bentley,Continental GTC Base,2013,79422.0,Gasoline,616.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,64000.0
1259,GMC,Sierra 2500 SLE H/D Extended Cab,2002,53850.0,Gasoline,340.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,16900.0
1260,Audi,SQ5 3.0T Premium,2020,21832.0,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,42000.0
1261,Toyota,Corolla iM Base,2017,41932.0,Gasoline,137.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,18700.0
1262,GMC,Yukon XL SLT,2017,110000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,34999.0
1263,Toyota,Tundra 1794,2020,67400.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,47500.0
1264,Subaru,WRX Premium,2017,62662.0,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Red,Black,At least 1 accident or damage reported,Yes,24000.0
1265,Subaru,WRX Base,2015,102000.0,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,White,Black,At least 1 accident or damage reported,Yes,18000.0
1266,INFINITI,Q50 Premium,2014,79785.0,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,White,At least 1 accident or damage reported,Yes,16488.0
1267,Chevrolet,Suburban Premier,2017,166549.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,24950.0
1268,Toyota,Sequoia Limited,2006,190656.0,Gasoline,273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,8900.0
1269,Dodge,Challenger R/T Scat Pack,2016,7928.0,–,–,6-Speed M/T,Red,Red,None reported,Yes,37500.0
1270,Porsche,Cayenne GTS,2009,135606.0,Gasoline,405.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,15000.0
1271,Kia,Telluride S,2023,14700.0,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,39900.0
1272,Mercedes-Benz,AMG E 63 S 4MATIC,2019,12985.0,Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,96000.0
1273,BMW,Z4 sDrive35is,2014,4200.0,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,64995.0
1274,Subaru,Impreza 2.0i Sport,2017,44000.0,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,None reported,Yes,23500.0
1275,Dodge,Dart SE,2015,66000.0,Gasoline,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,12000.0
1276,Land,Rover Range Rover P525 Westminster,2021,17945.0,Gasoline,5.0L V8 32V GDI DOHC Supercharged,8-Speed Automatic,Santorini Black Metallic,Ebony,None reported,Yes,89900.0
1277,Nissan,370Z Base,2013,106700.0,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,17500.0
1278,Cadillac,Escalade ESV Luxury,2020,120000.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,55000.0
1279,Mercedes-Benz,E-Class E 350,2012,59600.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,19900.0
1280,Kia,Optima Hybrid EX,2012,117220.0,Hybrid,206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,None reported,Yes,8900.0
1281,Chevrolet,Silverado 3500 LTZ,2022,85200.0,Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Silver,Gray,None reported,Yes,67500.0
1282,Volkswagen,Golf GTI 2.0T SE 4-Door,2018,63450.0,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,24325.0
1283,Dodge,Ram 1500 SRT-10,2004,73000.0,Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Gray,None reported,Yes,22500.0
1284,Scion,tC Anniversary Edition,2014,115000.0,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Silver,None reported,Yes,11495.0
1285,Land,Rover Range Rover 5.0L Supercharged Autobiography,2016,56000.0,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,None reported,Yes,49900.0
1286,Lexus,LS 500 Base,2018,67296.0,Gasoline,"3.5L V-6 port/direct injection, DOHC, VVT-iE/VVT-i variable valv","Automatic, 10-Spd",–,–,None reported,Yes,40900.0
1287,Chevrolet,Suburban 1500 LT,2015,179200.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,–,At least 1 accident or damage reported,Yes,16000.0
1288,Maserati,GranTurismo Base,2015,28000.0,Gasoline,444.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Red,None reported,Yes,44999.0
1289,Porsche,911 Carrera Turbo,2003,155000.0,Gasoline,415.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,55000.0
1290,Hyundai,Sonata Hybrid Base,2012,154000.0,Hybrid,206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Green,Gray,At least 1 accident or damage reported,Yes,8500.0
1291,Cadillac,CTS Luxury,2012,62500.0,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,18955.0
1292,BMW,323 Ci,2000,177700.0,Gasoline,170.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,None reported,Yes,2500.0
1293,Tesla,Model 3 Standard Range Plus,2019,83700.0,,Electric Motor Electric Fuel System,A/T,Black,Black,At least 1 accident or damage reported,Yes,26000.0
1294,Chevrolet,1500 Cheyenne Extended Cab,1995,120000.0,–,–,4-Speed A/T,White,Brown,At least 1 accident or damage reported,Yes,6500.0
1295,Nissan,370Z Touring,2012,65000.0,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,21500.0
1296,Mercedes-Benz,GLS 450 Base 4MATIC,2018,62808.0,Gasoline,3.0 Liter DOHC Twin Turbo,Automatic,Black,–,At least 1 accident or damage reported,Yes,38598.0
1297,Ford,Mustang GT Premium,2021,3000.0,Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,49500.0
1298,Audi,Q5 2.0T Premium,2012,119000.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,–,None reported,Yes,12000.0
1299,RAM,2500 Big Horn,2013,198868.0,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Brown,Beige,None reported,Yes,25000.0
1300,Dodge,Ram 1500 ST,2011,188000.0,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,8500.0
1301,Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,157405.0,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,10750.0
1302,Dodge,Challenger SRT Hellcat,2016,8228.0,Gasoline,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,62500.0
1303,Land,Rover Range Rover 3.0L Supercharged HSE,2018,73101.0,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,42950.0
1304,BMW,M4 Base,2018,10950.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,White,None reported,Yes,60995.0
1305,Mercedes-Benz,S-Class S 560 4MATIC,2018,63160.0,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,–,At least 1 accident or damage reported,Yes,47000.0
1306,Land,Rover Range Rover 5.0L V8 Supercharged,2019,31866.0,Gasoline,"5L V-8 gasoline direct injection, DOHC, variable valve control,","Automatic, 8-Spd",–,–,None reported,Yes,68900.0
1307,Chevrolet,Express 3500 Base,2009,75000.0,Gasoline,319.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,18900.0
1308,Toyota,4Runner TRD Pro,2016,98000.0,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,36000.0
1309,Mazda,MX-5 Miata Grand Touring,2012,33576.0,Gasoline,167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,None reported,Yes,18900.0
1310,Volkswagen,Touareg VR6 Lux,2012,123200.0,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,At least 1 accident or damage reported,Yes,12449.0
1311,Jaguar,XJ Base,2013,112000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,White,None reported,Yes,8800.0
1312,Chevrolet,Camaro 2SS,2010,68000.0,Gasoline,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,19500.0
1313,INFINITI,G37 x,2012,120000.0,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,At least 1 accident or damage reported,Yes,14500.0
1314,BMW,X6 xDrive50i,2019,45000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,46999.0
1315,Chevrolet,Camaro LT1,2022,6700.0,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,39500.0
1316,Porsche,Taycan Base,2021,6785.0,,Electric,2-Speed Automatic,Gentian Blue Metallic,Black,None reported,Yes,108900.0
1317,Mercedes-Benz,S-Class S 63 AMG,2015,40900.0,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,–,None reported,Yes,59750.0
1318,Cadillac,Escalade ESV Premium Luxury,2018,74150.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gold,Brown,None reported,Yes,45000.0
1319,Toyota,Camry Hybrid XLE,2014,94448.0,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Gray,None reported,Yes,15999.0
1320,Audi,A6 3.0T Prestige,2015,108000.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,19998.0
1321,BMW,X5 M Base,2012,118000.0,Gasoline,555.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Orange,At least 1 accident or damage reported,Yes,17000.0
1322,Jaguar,F-PACE SVR,2020,38800.0,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,57500.0
1323,BMW,740 i,2017,55000.0,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,40000.0
1324,BMW,M340 i xDrive,2021,34967.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,49999.0
1325,Jeep,Wrangler Unlimited Sport,2016,85325.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,None reported,Yes,30000.0
1326,RAM,2500 Tradesman,2018,63750.0,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,None reported,Yes,36000.0
1327,Ford,Mustang V6,2016,87248.0,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,19999.0
1328,BMW,328 i,1997,206000.0,Gasoline,190.0HP 2.8L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,At least 1 accident or damage reported,Yes,15900.0
1329,Mercedes-Benz,GL-Class GL 450,2011,112854.0,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,11999.0
1330,Rivian,R1S Adventure Package,2023,1150.0,,835.0HP Electric Motor Electric Fuel System,A/T,Green,Black,None reported,Yes,96850.0
1331,Tesla,Model Y Long Range,2023,10000.0,,425.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,48000.0
1332,Mercedes-Benz,E-Class E 350,2022,14100.0,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,None reported,Yes,53000.0
1333,BMW,X7 xDrive40i,2023,14360.0,Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Black,None reported,Yes,85495.0
1334,Chevrolet,Trailblazer RS,2023,10000.0,Gasoline,155.0HP 1.3L 3 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Black,None reported,Yes,32000.0
1335,Chevrolet,Suburban 1500 LTZ,2015,217500.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,20000.0
1336,Chevrolet,Suburban Premier,2021,73846.0,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,Midnight Blue Metallic,Jet Black,None reported,Yes,60995.0
1337,Jeep,Gladiator Overland,2020,40000.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,45000.0
1338,GMC,Yukon XL AT4,2023,9980.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,82000.0
1339,Mazda,Mazda6 Grand Touring Reserve,2019,41997.0,Gasoline,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,24995.0
1340,Alfa,Romeo Giulia Ti,2021,2000.0,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Brown,None reported,Yes,39000.0
1341,Mercedes-Benz,CLA-Class CLA 250,2016,42750.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,22999.0
1342,BMW,330 330i xDrive,2019,19473.0,Gasoline,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,Alpine White,Canberra Beige,None reported,Yes,31698.0
1343,Volkswagen,Beetle 2.0T S,2019,35340.0,Gasoline,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,23000.0
1344,Mercedes-Benz,CLK-Class CLK 350,2008,93000.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,12000.0
1345,Audi,RS 7 4.0T Prestige,2014,66150.0,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,47995.0
1346,Volvo,XC60 Recharge Plug-In Hybrid T8 Inscription,2022,19352.0,Plug-In Hybrid,455.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Blue,Beige,None reported,Yes,54599.0
1347,Land,Rover Range Rover Supercharged LWB,2020,81000.0,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,64800.0
1348,Toyota,Sequoia Limited,2011,183000.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gold,Beige,None reported,Yes,16000.0
1349,Jeep,Wrangler X,2004,44000.0,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,Green,Green,At least 1 accident or damage reported,Yes,24999.0
1350,Audi,S5 3.0T Premium,2021,18100.0,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,None reported,Yes,51800.0
1351,Land,Rover Range Rover Sport Supercharged,2011,40000.0,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Brown,At least 1 accident or damage reported,Yes,20000.0
1352,Mercedes-Benz,Sprinter 2500,2011,120000.0,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,Black,Gray,None reported,Yes,31999.0
1353,Toyota,Sequoia Platinum,2023,325.0,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Blue,Gray,None reported,Yes,84997.0
1354,Maserati,Quattroporte S GranLusso,2017,55000.0,Gasoline,405.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,39100.0
1355,Toyota,Land Cruiser Base,1996,233000.0,–,–,A/T,Blue,Gray,None reported,Yes,7500.0
1356,Lamborghini,Aventador SVJ Base,2021,6987.0,Gasoline,6.5L V12 48V MPFI DOHC,7-Speed,–,Nero Ade,None reported,Yes,749950.0
1357,Ford,Mustang Bullitt,2019,48500.0,Gasoline,480.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,44999.0
1358,RAM,2500 Tradesman,2018,52000.0,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Gray,Black,None reported,Yes,50000.0
1359,Toyota,FJ Cruiser Base,2007,179000.0,Gasoline,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,17900.0
1360,Dodge,Charger Scat Pack,2019,42626.0,Gasoline,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Red,None reported,Yes,42000.0
1361,Lexus,GX 460 Base,2018,65900.0,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,34700.0
1362,Genesis,GV80 2.5T,2022,7523.0,Gasoline,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,Black,Black,None reported,Yes,54543.0
1363,Jaguar,F-PACE 30t R-Sport,2019,34365.0,Gasoline,2.0 Liter,Automatic,Yulong,Ebony,None reported,Yes,59598.0
1364,Kia,Sportage S,2021,16949.0,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,Hyper Red,Black,None reported,Yes,24995.0
1365,Mercedes-Benz,S-Class S 580 4MATIC,2022,7968.0,Hybrid,496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,White,White,None reported,Yes,104999.0
1366,Porsche,Panamera Base,2018,61000.0,Gasoline,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,57500.0
1367,INFINITI,QX80 Base,2018,100564.0,Gasoline,5.6L V8 32V GDI DOHC,7-Speed Automatic,Black,Graphite,None reported,Yes,23105.0
1368,Ford,Maverick Lariat,2022,13700.0,Hybrid,191.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Blue,Brown,None reported,Yes,39500.0
1369,Kia,Telluride SX,2021,38612.0,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Ebony Black,Black,None reported,Yes,42242.0
1370,Chevrolet,Colorado Z85,2005,155000.0,Gasoline,220.0HP 3.5L 5 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,7995.0
1371,Mercedes-Benz,E-Class E 550,2017,56000.0,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,White,None reported,Yes,35750.0
1372,Land,Rover Range Rover Sport SVR,2022,15107.0,Gasoline,5.0L V8 32V GDI DOHC Supercharged,8-Speed Automatic,Santorini Black Metallic,Ebony,None reported,Yes,114900.0
1373,Toyota,Corolla Hybrid LE,2022,44459.0,Hybrid,121.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Gray,None reported,Yes,22945.0
1374,Mercedes-Benz,E-Class E 300 4MATIC,2017,31000.0,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,White,At least 1 accident or damage reported,Yes,38000.0
1375,Mercedes-Benz,SLK-Class SLK 350,2012,44000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,White,At least 1 accident or damage reported,Yes,22222.0
1376,Mercedes-Benz,E-Class E 400 4MATIC,2018,22558.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,9-Speed Automatic,Black,Black,None reported,Yes,47645.0
1377,Jeep,Wrangler X,2003,116157.0,Gasoline,210.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Beige,Beige,None reported,Yes,14250.0
1378,Lincoln,Navigator Premiere,2018,23500.0,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,50000.0
1379,Chevrolet,Corvette Base,2008,28150.0,Gasoline,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,None reported,Yes,31000.0
1380,GMC,Yukon XL Denali,2016,137500.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,29500.0
1381,Mercedes-Benz,Metris Base,2021,2284.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Black,Tan,None reported,Yes,157500.0
